mu,x,y,z,vx,vy,vz,i,RAAN,a,e,argPer,trueAnom,meanAnom
398600441580000,6800000,0,0,-0,7656.220477302023,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,3.141592653589793,3.141592653589793,3.141592653589793
398600441580000,4.163799117101001e-10,6800000,0,-7656.220477302023,4.688082950547172e-13,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,4.71238898038469,3.141592653589793,3.141592653589793
398600441580000,-6800000,8.327598234202002e-10,0,-9.376165901094344e-13,-7656.220477302023,-0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,6.283185307179586,3.141592653589793,3.141592653589793
398600441580000,-1.2491397351303e-09,-6800000,-0,7656.220477302023,-1.406424885164151e-12,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,1.570796326794896,3.141592653589793,3.141592653589793
398600441580000,4.163799117101001e-10,6800000,0,-7656.220477302023,4.688082950547172e-13,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,4.71238898038469,3.141592653589793,3.141592653589793
398600441580000,-6800000,8.327598234202002e-10,0,-9.376165901094344e-13,-7656.220477302023,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,6.283185307179586,3.141592653589793,3.141592653589793
398600441580000,-1.2491397351303e-09,-6800000,-0,7656.220477302023,-1.406424885164152e-12,-0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,1.570796326794896,3.141592653589793,3.141592653589793
398600441580000,6800000,-1.6655196468404e-09,-0,1.875233180218869e-12,7656.220477302023,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,3.141592653589793,3.141592653589793,3.141592653589793
398600441580000,-6800000,8.327598234202002e-10,0,-9.376165901094344e-13,-7656.220477302023,-0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,6.283185307179586,3.141592653589793,3.141592653589793
398600441580000,-1.2491397351303e-09,-6800000,-0,7656.220477302023,-1.406424885164152e-12,-0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,1.570796326794896,3.141592653589793,3.141592653589793
398600441580000,6800000,-1.6655196468404e-09,-0,1.875233180218869e-12,7656.220477302023,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,3.141592653589793,3.141592653589793,3.141592653589793
398600441580000,2.081899558550501e-09,6800000,0,-7656.220477302023,2.344041475273586e-12,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,4.71238898038469,3.141592653589793,3.141592653589793
398600441580000,-1.2491397351303e-09,-6800000,-0,7656.220477302023,-1.406424885164151e-12,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,1.570796326794896,3.141592653589793,3.141592653589793
398600441580000,6800000,-1.6655196468404e-09,-0,1.875233180218869e-12,7656.220477302023,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,3.141592653589793,3.141592653589793,3.141592653589793
398600441580000,2.081899558550501e-09,6800000,0,-7656.220477302023,2.344041475273586e-12,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,4.71238898038469,3.141592653589793,3.141592653589793
398600441580000,-6800000,2.4982794702606e-09,0,-2.812849770328303e-12,-7656.220477302023,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,6.283185307179585,3.141592653589794,3.141592653589793
398600441580000,4.163799117101001e-10,6800000,0,-7656.220477302023,4.688082950547172e-13,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,4.71238898038469,3.141592653589793,3.141592653589793
398600441580000,-6800000,8.327598234202002e-10,0,-9.376165901094344e-13,-7656.220477302023,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,6.283185307179586,3.141592653589793,3.141592653589793
398600441580000,-1.2491397351303e-09,-6800000,0,7656.220477302023,-1.406424885164152e-12,-0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,1.570796326794896,3.141592653589793,3.141592653589793
398600441580000,6800000,-1.6655196468404e-09,-0,1.875233180218869e-12,7656.220477302023,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,3.141592653589793,3.141592653589793,3.141592653589793
398600441580000,-6800000,8.327598234202002e-10,0,-9.376165901094344e-13,-7656.220477302023,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,6.283185307179586,3.141592653589793,3.141592653589793
398600441580000,-1.2491397351303e-09,-6800000,0,7656.220477302023,-1.406424885164152e-12,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,1.570796326794896,3.141592653589793,3.141592653589793
398600441580000,6800000,-1.6655196468404e-09,-0,1.875233180218869e-12,7656.220477302023,-0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,3.141592653589793,3.141592653589793,3.141592653589793
398600441580000,2.081899558550501e-09,6800000,-0,-7656.220477302023,2.344041475273586e-12,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,4.71238898038469,3.141592653589793,3.141592653589793
398600441580000,-1.2491397351303e-09,-6800000,0,7656.220477302023,-1.406424885164151e-12,-0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,1.570796326794896,3.141592653589793,3.141592653589793
398600441580000,6800000,-1.6655196468404e-09,-0,1.875233180218869e-12,7656.220477302023,-0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,3.141592653589793,3.141592653589793,3.141592653589793
398600441580000,2.081899558550501e-09,6800000,-0,-7656.220477302023,2.344041475273586e-12,0,0,6.283185307179586,6799999.999999999,1.271045959162934e-16,4.71238898038469,3.141592653589793,3.141592653589793
