x,y,z,shadow
1202576.46413377,1202576.46413377,6347098.60454547,1
1093188.85267755,1302811.74256241,6347098.60454547,1
975481.413966977,1393131.83697092,6347098.60454547,1
850349.972684332,1472849.35690407,6347098.60454547,1
718746.854654207,1541357.60390043,6347098.60454547,1
581673.639068948,1598135.18883393,6347098.60454547,1
440173.535866227,1642750,6347098.60454547,1
295323.446271517,1674862.4917465,6347098.60454547,1
148225.766929508,1694228.26862118,6347098.60454547,1
1.04137837220291e-10,1700699.94536866,6347098.60454547,1
-148225.766929507,1694228.26862118,6347098.60454547,1
-295323.446271516,1674862.4917465,6347098.60454547,1
-440173.535866227,1642750,6347098.60454547,1
-581673.639068947,1598135.18883393,6347098.60454547,1
-718746.854654207,1541357.60390043,6347098.60454547,1
-850349.972684332,1472849.35690407,6347098.60454547,1
-975481.413966977,1393131.83697092,6347098.60454547,1
-1093188.85267755,1302811.74256241,6347098.60454547,1
-1202576.46413377,1202576.46413377,6347098.60454547,1
-1302811.74256241,1093188.85267755,6347098.60454547,1
-1393131.83697092,975481.413966978,6347098.60454547,1
-1472849.35690407,850349.972684332,6347098.60454547,1
-1541357.60390043,718746.854654207,6347098.60454547,1
-1598135.18883393,581673.639068948,6347098.60454547,1
-1642750,440173.535866227,6347098.60454547,1
-1674862.4917465,295323.446271517,6347098.60454547,1
-1694228.26862118,148225.766929508,6347098.60454547,1
-1700699.94536866,2.08275674440581e-10,6347098.60454547,1
-1694228.26862118,-148225.766929507,6347098.60454547,1
-1674862.4917465,-295323.446271516,6347098.60454547,1
-1642750,-440173.535866227,6347098.60454547,1
-1598135.18883393,-581673.639068947,6347098.60454547,1
-1541357.60390043,-718746.854654207,6347098.60454547,1
-1472849.35690407,-850349.972684331,6347098.60454547,1
-1393131.83697092,-975481.413966977,6347098.60454547,1
-1302811.74256241,-1093188.85267755,6347098.60454547,1
-1202576.46413377,-1202576.46413377,6347098.60454547,1
-1093188.85267755,-1302811.74256241,6347098.60454547,1
-975481.413966978,-1393131.83697092,6347098.60454547,1
-850349.972684333,-1472849.35690407,6347098.60454547,1
-718746.854654208,-1541357.60390042,6347098.60454547,1
-581673.639068948,-1598135.18883393,6347098.60454547,1
-440173.535866227,-1642750,6347098.60454547,1
-295323.446271516,-1674862.4917465,6347098.60454547,1
-148225.766929508,-1694228.26862118,6347098.60454547,1
-3.12413511660872e-10,-1700699.94536866,6347098.60454547,1
148225.766929507,-1694228.26862118,6347098.60454547,1
295323.446271516,-1674862.4917465,6347098.60454547,1
440173.535866226,-1642750,6347098.60454547,1
581673.639068946,-1598135.18883393,6347098.60454547,1
718746.854654206,-1541357.60390043,6347098.60454547,1
850349.972684332,-1472849.35690407,6347098.60454547,1
975481.413966977,-1393131.83697092,6347098.60454547,1
1093188.85267755,-1302811.74256241,6347098.60454547,1
1202576.46413377,-1202576.46413377,6347098.60454547,1
1302811.74256241,-1093188.85267755,6347098.60454547,1
1393131.83697092,-975481.413966978,6347098.60454547,0.908906521809405
